"Item 1","Item 2","Item 3","Item 4","Item 5"
96,36,80,78,79
42,2,1,1,1
64,23,36,13,38
100,51,106,57,100
10,5,65,4,5
59,24,94,98,8
97,58,103,59,14
7,9,106,79,8
110,20,110,1,110
110,111,110,110,110
29,73,30,75,34
54,45,85,19,93
99,14,97,16,17
92,19,20,18,23
92,7,85,87,63
85,18,61,100,67
63,50,81,26,7
107,75,101,110,79
54,76,70,56,32
111,111,111,89,98
73,64,53,51,74
43,33,106,98,17
80,76,78,38,64
29,18,18,9,106
68,13,107,30,83
82,61,98,57,54
83,36,49,51,33
83,28,99,100,77
30,62,6,57,101
56,4,1,110,52
35,30,8,12,9
56,21,86,32,56
28,88,74,79,26
75,43,62,30,73
64,1,53,47,15
91,49,65,92,63
70,46,59,92,68
34,32,93,58,60
72,18,51,14,72
70,59,82,87,94
72,1,53,88,86
29,20,57,37,29
96,55,68,77,41
94,58,93,58,72
55,16,88,35,33
1,1,111,111,111
94,102,108,92,107
77,60,57,59,108
111,63,111,95,94
64,18,35,33,50
79,96,90,49,88
58,43,79,76,74
83,36,90,12,26
62,27,61,18,32
106,8,1,6,93
28,33,18,57,61
64,31,3,29,24
81,17,21,87,56
57,28,42,43,44
97,20,8,93,63
23,9,5,8,75
42,13,41,23,41
92,40,3,51,4
37,26,4,38,20
35,12,10,15,12
9,102,8,102,9
34,12,36,24,93
11,1,13,2,111
106,23,84,78,73
15,31,71,85,88
50,38,1,75,77
23,23,38,6,26
34,29,111,111,111
37,64,33,62,5
73,12,67,20,12
67,36,98,70,56
10,23,4,42,3
78,33,80,76,77
70,24,11,86,73
13,5,1,6,11
105,37,13,84,80
40,40,84,78,74
90,25,97,60,98
49,14,25,56,64
85,23,91,108,53
99,4,111,52,81
55,18,55,50,37
76,56,76,47,43
73,26,73,42,55
40,36,46,74,18
107,78,97,61,60
37,18,6,15,26
73,111,63,1,71
111,19,9,45,29
102,5,4,102,89
83,10,13,56,38
31,7,3,6,18
57,8,68,28,22
73,10,1,1,15
89,17,105,92,103
91,15,94,56,68
64,50,68,45,70
97,94,95,55,28
105,33,88,30,98
63,8,15,50,28
97,25,27,82,88
104,4,99,102,14
16,16,26,12,56
6,28,61,31,56
34,5,111,108,5
67,39,98,96,9
96,84,106,4,12
99,32,47,9,70
108,5,107,105,107
94,38,57,82,31
35,82,13,101,95
70,41,24,54,24
78,17,37,68,68
83,59,41,33,36
75,20,15,26,78
14,23,100,18,19
59,33,98,78,88
40,69,64,33,88
5,28,64,61,23
3,85,21,75,76
80,34,103,60,87
17,18,28,79,5
47,17,9,99,101
90,26,74,56,111
33,26,78,14,19
38,38,25,78,51
65,27,22,33,24
103,33,100,80,107
83,34,111,96,53
103,20,84,57,27
30,66,15,53,72
20,15,5,12,13
111,11,3,9,10
20,25,1,23,1
26,42,5,19,12
24,2,1,11,3
73,22,53,64,8
34,32,26,24,29
63,19,87,23,19
43,10,17,4,24
109,14,4,35,83
21,22,40,26,77
34,38,11,53,54
106,19,14,111,96
102,33,23,94,107
86,47,22,54,34
94,88,106,108,109
106,45,109,64,20
29,13,29,75,27
108,10,12,9,20
1,2,8,13,14
31,22,105,34,23
80,58,72,78,40
99,84,27,20,29
17,20,87,21,23
80,91,87,85,90
92,20,30,94,27
64,5,24,84,31
3,3,1,1,1
53,11,5,6,15
68,54,75,68,67
54,91,34,111,55
101,74,86,36,38
111,1,91,1,1
22,10,111,26,25
49,12,29,1,81
98,13,103,10,10
50,46,104,18,103
91,17,12,17,77
88,28,100,72,17
106,107,98,94,98
19,31,50,14,35
51,34,2,32,7
111,34,110,111,105
101,103,108,93,104
43,35,13,35,35
111,28,8,96,75
81,33,100,35,26
78,85,90,111,108
55,48,1,38,78
56,30,103,80,15
108,61,28,57,101
