stage,estimate,se,z,nsim
1,1.3411898571028207,0.2784157437176194,4.81721988560787,1
2,1.2532680513713952,0.1958788367401909,6.39817997813465,1
3,1.1547977314397186,0.1613661714527846,7.156380553885857,1
4,0.9682042116324789,0.14285854623533958,6.777362903004047,1
5,0.7694735144267952,0.13084802767258152,5.88066574723032,1
1,1.088326710523911,0.3064003919990335,3.5519755814390206,2
2,1.1058022287184301,0.1978392610577526,5.58939728548434,2
3,0.9134347600167831,0.16422995282112868,5.561925485125434,2
4,0.791610783717544,0.14435734364899486,5.483689043505449,2
5,0.7694735144267952,0.13084802767258152,5.88066574723032,2
1,0.443407522194279,0.2881463343596093,1.538827565444238,3
2,0.43303918641492994,0.20373217912229052,2.125531608607581,3
3,0.7235516287355191,0.16271968711390042,4.446613938171157,3
4,0.7214458071112063,0.14423518053138792,5.001871280316441,3
5,0.7694735144267952,0.13084802767258152,5.88066574723032,3
1,1.0086334076790737,0.2681152967883285,3.761939060401201,4
2,0.5558592962507873,0.20584195279810955,2.7004179113864897,4
3,0.6007212303558618,0.17453398229007727,3.441858270084372,4
4,0.6942309945988117,0.14888101584185678,4.66299205894882,4
5,0.7694735144267952,0.13084802767258152,5.88066574723032,4
1,0.5451216954073685,0.2964214523368236,1.8390089216213237,5
2,0.7618852920205159,0.21123353005094395,3.6068387998665234,5
3,0.6848800390481619,0.17444135274138112,3.926133501518611,5
4,0.8168371011916907,0.14530321065938703,5.6216039376203595,5
5,0.7694735144267952,0.13084802767258152,5.88066574723032,5
1,0.34119924268487195,0.3000450836947139,1.137159917714336,6
2,0.6119281437173181,0.20483510586492043,2.9874182998731538,6
3,0.7320177250128826,0.16314735681400303,4.48685004346974,6
4,0.838666984096097,0.144821404617772,5.791043018189168,6
5,0.7694735144267952,0.13084802767258152,5.88066574723032,6
1,0.31926554733247703,0.29742470682737343,1.073433174863244,7
2,0.7602445818811409,0.20844236263815252,3.6472652308249573,7
3,0.6918230413189403,0.1692541025821747,4.087481666703192,7
4,0.6675071858037852,0.14946273087641138,4.466044356942317,7
5,0.7694735144267952,0.13084802767258152,5.88066574723032,7
1,-0.01590166267447189,0.3586617335996088,-0.04433610052257115,8
2,0.25444397529681073,0.23322160217341997,1.0909966011965313,8
3,0.494620809965597,0.17079071527472062,2.8960638121925335,8
4,0.6818139978826172,0.14602843179103855,4.6690496468404765,8
5,0.7694735144267952,0.13084802767258152,5.88066574723032,8
1,0.5257705449149347,0.32002557269341525,1.6429016609201519,9
2,0.6597645631595376,0.20670353058792285,3.191839835937887,9
3,0.780537226581057,0.17089763230439634,4.567279347620182,9
4,0.7064125897641105,0.1482149389571241,4.766136225771836,9
5,0.7694735144267952,0.13084802767258152,5.88066574723032,9
1,0.4043429125462335,0.2967101214619159,1.3627540258957185,10
2,0.5346118150869572,0.21109850852586282,2.5325229383203296,10
3,0.40070701774467066,0.17411253362555662,2.301425459734129,10
4,0.6636898269831986,0.14615949785123256,4.540860065479499,10
5,0.7694735144267952,0.13084802767258152,5.88066574723032,10
1,1.2450244441090506,0.2935418093939569,4.241387101481434,11
2,0.9933473473931991,0.21421449621139851,4.63716212003183,11
3,1.0248479746422532,0.16890303496876174,6.06767057105751,11
4,0.7583776473315773,0.14765695273954096,5.136078140995604,11
5,0.7694735144267952,0.13084802767258152,5.88066574723032,11
1,1.1011352443040276,0.2710813980504469,4.062009611220582,12
2,0.8203116063124675,0.2059987539656454,3.9821192629605497,12
3,0.7398283141241323,0.16967267224482308,4.3603268831448805,12
4,0.7305391163726559,0.14845834217804868,4.920835741897936,12
5,0.7694735144267952,0.13084802767258152,5.88066574723032,12
1,0.47599937535649256,0.27139619891089223,1.753891090835719,13
2,0.7573233244935561,0.18786680522056937,4.031171571818678,13
3,0.807497930758925,0.15644395351174947,5.161579675230332,13
4,0.7380717777662846,0.14153569936182744,5.214739327916477,13
5,0.7694735144267952,0.13084802767258152,5.88066574723032,13
1,0.9518444206117307,0.26812112606955874,3.5500537930934746,14
2,0.4989804844141262,0.20101248573898536,2.4823357742167924,14
3,0.5433689860400001,0.17142514128896494,3.1697158418791287,14
4,0.6983403984844286,0.1458111870674926,4.789347186105708,14
5,0.7694735144267952,0.13084802767258152,5.88066574723032,14
1,0.60183030020843,0.30401376283141185,1.9796153128178269,15
2,0.8637354453420193,0.20252885761321127,4.264752467974601,15
3,0.7581919020042319,0.16546739084485118,4.58212278644765,15
4,0.819846706593692,0.1444886549799183,5.674125118734326,15
5,0.7694735144267952,0.13084802767258152,5.88066574723032,15
1,0.8512178826102916,0.27966055059427514,3.043753868042755,16
2,0.6401628920551511,0.21605535450108487,2.962957773175377,16
3,0.8470281355500578,0.16641152207011317,5.089960869375286,16
4,0.7841800182243049,0.14426524203161534,5.43568226955495,16
5,0.7694735144267952,0.13084802767258152,5.88066574723032,16
1,0.42372971208766286,0.33727418305817985,1.256336041631059,17
2,0.8023678629755984,0.2091320896542313,3.8366558872059944,17
3,1.034602277330565,0.1637342638556076,6.318789073024752,17
4,0.6759734496421168,0.1439064492339266,4.697311713551424,17
5,0.7694735144267952,0.13084802767258152,5.88066574723032,17
1,0.9350037884166348,0.261349458173495,3.5775998731780008,18
2,0.7321281136299405,0.20272422111272295,3.611448644919678,18
3,0.7796049316764652,0.16427743302581826,4.745660540933462,18
4,0.8765944183618467,0.14416318295486336,6.080570644977389,18
5,0.7694735144267952,0.13084802767258152,5.88066574723032,18
1,0.6274463596910198,0.3057307444389935,2.052284145784437,19
2,1.0040276437225684,0.20608453082376046,4.871921437816182,19
3,0.960405766123965,0.16637128155308983,5.772665553564875,19
4,0.7941047064268539,0.14552475750659638,5.456835799165366,19
5,0.7694735144267952,0.13084802767258152,5.88066574723032,19
1,-0.10823289386228702,0.3379043475761267,-0.3203063075058635,20
2,0.8084518164055511,0.2142629665635573,3.773175688602903,20
3,0.6193704431683978,0.17485304855556538,3.542234169120433,20
4,0.7561564069101419,0.14553757267138068,5.195609580609947,20
5,0.7694735144267952,0.13084802767258152,5.88066574723032,20
1,0.5642094866297682,0.3056821565198985,1.845739028581607,21
2,0.5364208794456594,0.2180964232454029,2.459558352509416,21
3,0.7483689247370275,0.1710202906172236,4.375907221512222,21
4,0.7360356329831523,0.15015762136623667,4.90175341275519,21
5,0.7694735144267952,0.13084802767258152,5.88066574723032,21
1,0.36834255372715413,0.28307034408162374,1.3012403504230807,22
2,0.6014470600517615,0.20424123315930018,2.94478764521881,22
3,0.6946102639804708,0.1673711339472161,4.1501198420483325,22
4,0.5934026298236809,0.14756528393600604,4.021288842442231,22
5,0.7694735144267952,0.13084802767258152,5.88066574723032,22
1,0.3696997734437403,0.3058976892822653,1.208573279226709,23
2,1.2074150096036422,0.20703865823543183,5.831833629015519,23
3,0.9718809942832022,0.16866479921937735,5.762204080408652,23
4,0.8311901540812167,0.14626323902842528,5.6828370518970965,23
5,0.7694735144267952,0.13084802767258152,5.88066574723032,23
1,0.5135373090721724,0.3019270321601594,1.7008656210675523,24
2,0.4690718481056987,0.2179944488256444,2.151760517905987,24
3,0.5997297730065412,0.1759111353081548,3.4092769167566117,24
4,0.6070675174054799,0.14922610984657805,4.068105226555973,24
5,0.7694735144267952,0.13084802767258152,5.88066574723032,24
1,1.4560876767440671,0.25721517332180116,5.660971154770718,25
2,1.200812907219317,0.20117173974085772,5.969093416233123,25
3,0.8865279725594593,0.16757439093408882,5.29035473509883,25
4,0.9011646614696943,0.14538996251255915,6.1982591225432735,25
5,0.7694735144267952,0.13084802767258152,5.88066574723032,25
1,1.0325288472436358,0.27861536578260154,3.705929299137432,26
2,0.5539733549352509,0.20319485902981832,2.7263158013951365,26
3,0.6935123503373759,0.16558043092340022,4.188371454705322,26
4,0.6322246842087744,0.14632319321468065,4.32074143762838,26
5,0.7694735144267952,0.13084802767258152,5.88066574723032,26
1,1.0028534173567454,0.3135969911141382,3.197905100408767,27
2,0.9467640531120756,0.20305719846449774,4.662548583706608,27
3,0.7234687481028215,0.1705597257825284,4.241732594160464,27
4,0.7632634989291361,0.1461165317908139,5.223662850291668,27
5,0.7694735144267952,0.13084802767258152,5.88066574723032,27
1,0.960347516415212,0.31596357763836147,3.0394247450710443,28
2,0.848847686418338,0.21473845050199458,3.9529375593145275,28
3,0.8675594447325577,0.16634183459526772,5.2155216806610785,28
4,0.9019494184216228,0.14273970944240022,6.31884022984919,28
5,0.7694735144267952,0.13084802767258152,5.88066574723032,28
1,0.9568016466061718,0.2981870585733085,3.2087296181934892,29
2,0.9567458432510405,0.20939261671683118,4.569147939656729,29
3,0.9443346166576622,0.16963134833513605,5.566981727881841,29
4,0.7529894948618546,0.1447213538939618,5.203029646983365,29
5,0.7694735144267952,0.13084802767258152,5.88066574723032,29
1,0.39200904018160493,0.2965599332957142,1.3218543578195165,30
2,0.5816081729974687,0.2032165674088474,2.862011598824729,30
3,0.6850841480372368,0.16477752880953547,4.157630915979557,30
4,0.803019836276938,0.14569873276910666,5.511508720872052,30
5,0.7694735144267952,0.13084802767258152,5.88066574723032,30
1,1.2692052214491634,0.28739399443291164,4.416255196819858,31
2,1.3215515332125936,0.2057930807799579,6.421749109367038,31
3,1.2569002275680714,0.16900053368152276,7.437255967112318,31
4,0.9630624627001502,0.14327559143254484,6.721748296907689,31
5,0.7694735144267952,0.13084802767258152,5.88066574723032,31
1,0.3181283739848542,0.29183437708892795,1.090099038907654,32
