no,f1,f2_1,f3,sc1,sc2,sc3,sc4,sc5,sc6,sc7-1,sc7-2,sc7-3,sc7-4,sc7-5,sc7-6,sc7-7,sc7-8,sc7-9,sc7-10,sc7-11,sc8-1,sc8-2,sc8-3,sc8-4,sc8-5,sc8-6,sc8-7,sc8-8,sc8-9,sc8-10,sc9,sc10_1,sc10_2,sc10_3,sc10_4,sc10_5,sc10_6,sc10_7,sc10_8,sc10_9,sc10_10,f0
1,1,21,4,1,5,4,12,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,1
2,2,23,13,1,9,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,21,10,1,2,2,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,2,1,1,3,1,1,1
4,2,25,11,1,3,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,2,3,2,3,2,2,2,1
5,2,22,13,1,11,4,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,1
6,1,21,27,1,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,4,3,4,3,3,4,4,4,4,1
7,1,24,27,1,11,4,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,26,8,1,2,2,7,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,3,1,1,1
9,2,22,26,1,2,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,1,1,1,1,2,1,1,1
10,1,21,6,1,4,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,3,3,2,3,2,2,2,2,1
11,2,26,25,1,9,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,3,1,2,1,2,1,1
12,3,20,1,4,11,4,12,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,1,1,1,1,1,1,1,1
13,2,23,24,1,6,4,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
14,2,19,23,4,2,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1
15,2,18,27,4,10,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,4,4,4,4,4,4,1
16,1,22,24,1,1,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1
17,2,22,12,1,2,2,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,2,1,1,1,1,3,2,2,1
18,2,20,29,1,2,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,2,2,3,2,2,3,2,2,1
19,2,20,28,1,5,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1,2,1,1,3,1,1,1
20,2,24,13,1,1,2,6,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,2,1,1,2,1,1,1
21,2,20,32,1,2,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,2,1,2,2,4,1
22,1,19,22,1,2,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,3,2,2,1,1,2,1,2,1
23,2,22,40,1,2,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,2,1,3,2,2,1,1,1,1
24,2,22,9,1,8,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,2,1,2,2,1,3,1,1,1
25,3,22,13,4,9,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
26,2,24,9,1,2,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
27,1,23,8,1,5,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,3,2,2,1
28,1,21,11,1,4,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,1,1,2,1,1,1
29,2,19,4,1,2,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,1,3,1,2,1
30,2,22,12,1,6,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,2,2,3,2,2,2,2,3,1
31,2,27,13,4,9,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,1,1,1,2,2,1,1,1
32,1,29,13,1,4,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,3,2,3,3,3,3,3,3,1
33,2,20,12,1,6,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,1,1,1
34,2,21,12,1,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,4,3,3,3,3,3,3,2,3,2,1,1
35,2,21,13,1,7,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,3,3,3,3,1,3,3,3,3,1,3,1
36,2,19,21,1,11,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1
37,2,22,23,1,11,4,12,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,3,3,3,3,3,3,3,3,3,3,1
38,2,23,27,1,2,1,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,3,3,3,3,3,3,3,2,2,1
39,1,24,23,1,3,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,2,3,2,3,2,2,2,2,3,3,2,1
40,2,21,14,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2,2,2,2,2,2,2,3,2,2,1
41,1,20,14,1,2,2,12,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,2,1,2,1,1,1
42,2,22,13,1,9,2,4,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,5,2,2,2,2,2,2,2,2,3,2,1
43,2,28,13,1,2,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
44,2,20,20,3,1,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,4,3,3,3,3,3,3,3,3,3,3,1
45,2,19,12,1,6,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,3,3,3,3,3,3,3,3,3,3,1
46,2,22,14,1,11,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,2,2,3,2,3,1,1,1
47,2,19,34,1,8,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,4,2,3,2,4,2,2,4,3,4,4,1
48,2,24,14,1,6,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2,2,3,3,3,2,3,3,1
49,1,26,24,1,4,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,3,4,1
50,2,22,26,1,2,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,4,4,4,4,4,4,4,1
51,2,21,12,1,2,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,2,1,1,1
52,2,21,28,1,2,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,3,2,1,1
53,2,20,40,1,1,2,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,3,2,2,2,2,1,2,2,1
54,2,20,21,1,8,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,2,3,2,2,3,1,1,3,1,2,1
55,2,21,13,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,2,3,2,2,2,2,3,2,2,1
56,2,20,10,1,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,1
57,1,22,28,1,3,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,2,1,3,1,1,1
58,3,25,9,4,7,2,9,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,3,2,2,3,3,3,3,3,2,1
