position,boundary,params,nitem,mdif,pdif,N,stages,1,2,3,4,5,expected_rate,detect_rate,expected_size
difficult,obf,1,10,0,0.1,500,2,1,39,NA,NA,NA,0.9875,0.04,499.75
difficult,obf,2,30,0,0.1,500,2,4,44,NA,NA,NA,0.9583333333333334,0.048,499
difficult,obf,3,10,0.5,0.1,500,2,5,179,NA,NA,NA,0.9864130434782609,0.184,498.75
difficult,obf,4,30,0.5,0.1,500,2,90,502,NA,NA,NA,0.9239864864864865,0.592,477.50000000000006
difficult,obf,5,10,1,0.1,500,2,5,511,NA,NA,NA,0.9951550387596899,0.516,498.74999999999994
difficult,obf,6,30,1,0.1,500,2,472,510,NA,NA,NA,0.7596741344195519,0.982,382
difficult,obf,7,10,0,0.3,500,2,4,53,NA,NA,NA,0.9649122807017544,0.057,499
difficult,obf,8,30,0,0.3,500,2,2,50,NA,NA,NA,0.9807692307692307,0.052,499.5
difficult,obf,9,10,0.5,0.3,500,2,131,528,NA,NA,NA,0.9006069802731411,0.659,467.25
difficult,obf,10,30,0.5,0.3,500,2,572,418,NA,NA,NA,0.7111111111111111,0.99,357.00000000000006
difficult,obf,11,10,1,0.3,500,2,602,394,NA,NA,NA,0.6977911646586346,0.996,349.50000000000006
difficult,obf,12,30,1,0.3,500,2,1000,0,NA,NA,NA,0.5,1,250
difficult,obf,13,10,0,0.1,1000,2,4,39,NA,NA,NA,0.9534883720930233,0.043,998
difficult,obf,14,30,0,0.1,1000,2,5,53,NA,NA,NA,0.9568965517241379,0.058,997.4999999999999
difficult,obf,15,10,0.5,0.1,1000,2,31,353,NA,NA,NA,0.9596354166666666,0.384,984.4999999999999
difficult,obf,16,30,0.5,0.1,1000,2,248,645,NA,NA,NA,0.8611422172452408,0.893,876
difficult,obf,17,10,1,0.1,1000,2,161,699,NA,NA,NA,0.9063953488372093,0.86,919.5
difficult,obf,18,30,1,0.1,1000,2,881,119,NA,NA,NA,0.5595,1,559.5
difficult,obf,19,10,0,0.3,1000,2,5,38,NA,NA,NA,0.9418604651162791,0.043,997.4999999999999
difficult,obf,20,30,0,0.3,1000,2,6,47,NA,NA,NA,0.9433962264150944,0.053,997
difficult,obf,21,10,0.5,0.3,1000,2,299,632,NA,NA,NA,0.8394199785177229,0.931,850.5
difficult,obf,22,30,0.5,0.3,1000,2,926,74,NA,NA,NA,0.537,1,537
difficult,obf,23,10,1,0.3,1000,2,956,44,NA,NA,NA,0.522,1,522
difficult,obf,24,30,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
difficult,obf,25,10,0,0.1,500,5,0,0,1,8,27,0.9444444444444444,0.036,499
difficult,obf,26,30,0,0.1,500,5,0,0,3,20,26,0.8938775510204081,0.049,497.4
difficult,obf,27,10,0.5,0.1,500,5,0,0,10,72,90,0.8930232558139535,0.172,490.8
difficult,obf,28,30,0.5,0.1,500,5,0,20,137,219,208,0.8106164383561644,0.584,444.7
difficult,obf,29,10,1,0.1,500,5,0,0,44,237,224,0.8712871287128713,0.505,467.5
difficult,obf,30,30,1,0.1,500,5,0,155,520,232,73,0.6455102040816326,0.98,326.29999999999995
difficult,obf,31,10,0,0.3,500,5,0,1,7,17,27,0.8692307692307693,0.052,496.59999999999997
difficult,obf,32,30,0,0.3,500,5,0,0,6,19,28,0.8830188679245282,0.053,496.9
difficult,obf,33,10,0.5,0.3,500,5,0,39,164,236,203,0.7878504672897196,0.642,431.90000000000003
difficult,obf,34,30,0.5,0.3,500,5,0,278,467,194,48,0.6024316109422492,0.987,303.79999999999995
difficult,obf,35,10,1,0.3,500,5,0,264,512,177,39,0.5981854838709677,0.992,300.7
difficult,obf,36,30,1,0.3,500,5,101,860,38,1,0,0.38780000000000003,1,193.9
difficult,obf,37,10,0,0.1,1000,5,0,0,6,15,21,0.8714285714285714,0.042,994.5999999999999
difficult,obf,38,30,0,0.1,1000,5,0,0,5,17,30,0.8961538461538462,0.052,994.5999999999999
difficult,obf,39,10,0.5,0.1,1000,5,0,2,53,148,169,0.8602150537634409,0.372,948
difficult,obf,40,30,0.5,0.1,1000,5,0,81,335,304,164,0.7246606334841629,0.884,756.5999999999999
difficult,obf,41,10,1,0.1,1000,5,0,9,322,337,188,0.7644859813084112,0.856,798.4
difficult,obf,42,30,1,0.1,1000,5,1,617,346,35,1,0.48360000000000003,1,483.6
difficult,obf,43,10,0,0.3,1000,5,0,1,6,12,20,0.8615384615384616,0.039,994.5999999999999
difficult,obf,44,30,0,0.3,1000,5,0,0,7,17,26,0.8759999999999999,0.05,993.8
difficult,obf,45,10,0.5,0.3,1000,5,1,126,367,280,149,0.6975081256771397,0.923,720.8
difficult,obf,46,30,0.5,0.3,1000,5,30,687,268,15,0,0.4536,1,453.6
difficult,obf,47,10,1,0.3,1000,5,22,757,212,9,0,0.4416,1,441.59999999999997
difficult,obf,48,30,1,0.3,1000,5,654,346,0,0,0,0.26920000000000005,1,269.20000000000005
