position,boundary,params,nitem,mdif,pdif,N,stages,1,2,3,4,5,expected_rate,detect_rate,expected_size
difficult,pocock,1,10,0,0.1,500,2,22,13,NA,NA,NA,0.6857142857142857,0.035,494.5
difficult,pocock,2,30,0,0.1,500,2,24,11,NA,NA,NA,0.6571428571428571,0.035,494
difficult,pocock,3,10,0.5,0.1,500,2,57,98,NA,NA,NA,0.8161290322580645,0.155,485.75
difficult,pocock,4,30,0.5,0.1,500,2,259,283,NA,NA,NA,0.761070110701107,0.542,435.25
difficult,pocock,5,10,1,0.1,500,2,135,311,NA,NA,NA,0.8486547085201793,0.446,466.25000000000006
difficult,pocock,6,30,1,0.1,500,2,745,225,NA,NA,NA,0.615979381443299,0.97,313.75000000000006
difficult,pocock,7,10,0,0.3,500,2,27,29,NA,NA,NA,0.7589285714285714,0.056,493.24999999999994
difficult,pocock,8,30,0,0.3,500,2,34,22,NA,NA,NA,0.6964285714285714,0.056,491.5
difficult,pocock,9,10,0.5,0.3,500,2,297,310,NA,NA,NA,0.7553542009884678,0.607,425.74999999999994
difficult,pocock,10,30,0.5,0.3,500,2,781,202,NA,NA,NA,0.6027466937945066,0.983,304.75
difficult,pocock,11,10,1,0.3,500,2,814,176,NA,NA,NA,0.5888888888888889,0.99,296.5
difficult,pocock,12,30,1,0.3,500,2,1000,0,NA,NA,NA,0.5,1,250
difficult,pocock,13,10,0,0.1,1000,2,22,22,NA,NA,NA,0.75,0.044,989
difficult,pocock,14,30,0,0.1,1000,2,32,22,NA,NA,NA,0.7037037037037037,0.054,984
difficult,pocock,15,10,0.5,0.1,1000,2,144,190,NA,NA,NA,0.7844311377245509,0.334,927.9999999999999
difficult,pocock,16,30,0.5,0.1,1000,2,495,356,NA,NA,NA,0.709165687426557,0.851,752.5
difficult,pocock,17,10,1,0.1,1000,2,461,368,NA,NA,NA,0.7219541616405307,0.829,769.5
difficult,pocock,18,30,1,0.1,1000,2,966,34,NA,NA,NA,0.517,1,517
difficult,pocock,19,10,0,0.3,1000,2,24,19,NA,NA,NA,0.7209302325581395,0.043,988
difficult,pocock,20,30,0,0.3,1000,2,27,22,NA,NA,NA,0.7244897959183674,0.049,986.4999999999999
difficult,pocock,21,10,0.5,0.3,1000,2,566,342,NA,NA,NA,0.6883259911894273,0.908,717
difficult,pocock,22,30,0.5,0.3,1000,2,972,28,NA,NA,NA,0.514,1,514
difficult,pocock,23,10,1,0.3,1000,2,994,6,NA,NA,NA,0.503,1,503
difficult,pocock,24,30,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
difficult,pocock,25,10,0,0.1,500,5,0,3,7,2,6,0.7222222222222222,0.018,497.5
difficult,pocock,26,30,0,0.1,500,5,6,13,10,11,4,0.5727272727272728,0.044,490.59999999999997
difficult,pocock,27,10,0.5,0.1,500,5,2,13,23,30,37,0.7657142857142858,0.105,487.70000000000005
difficult,pocock,28,30,0.5,0.1,500,5,55,101,110,124,93,0.6409937888198758,0.483,413.3
difficult,pocock,29,10,1,0.1,500,5,3,20,79,124,105,0.7861027190332326,0.331,464.6
difficult,pocock,30,30,1,0.1,500,5,198,360,222,119,62,0.4932362122788761,0.961,256.49999999999994
difficult,pocock,31,10,0,0.3,500,5,6,11,10,7,7,0.5902439024390245,0.041,491.59999999999997
difficult,pocock,32,30,0,0.3,500,5,12,10,11,11,8,0.573076923076923,0.052,488.9
difficult,pocock,33,10,0.5,0.3,500,5,71,104,127,130,105,0.6350093109869647,0.537,402
difficult,pocock,34,30,0.5,0.3,500,5,290,332,210,105,43,0.45285714285714285,0.98,231.9
difficult,pocock,35,10,1,0.3,500,5,307,363,189,87,32,0.43108384458077714,0.978,221.8
difficult,pocock,36,30,1,0.3,500,5,868,130,2,0,0,0.22679999999999997,1,113.39999999999999
difficult,pocock,37,10,0,0.1,1000,5,9,11,5,3,10,0.5684210526315789,0.038,983.5999999999999
difficult,pocock,38,30,0,0.1,1000,5,12,6,8,8,11,0.6,0.045,982
difficult,pocock,39,10,0.5,0.1,1000,5,9,45,64,85,63,0.7112781954887217,0.266,923.2
difficult,pocock,40,30,0.5,0.1,1000,5,135,216,213,149,98,0.5652281134401973,0.811,647.4
difficult,pocock,41,10,1,0.1,1000,5,21,226,203,186,132,0.6473958333333334,0.768,729.2
difficult,pocock,42,30,1,0.1,1000,5,518,376,91,13,2,0.321,1,321
difficult,pocock,43,10,0,0.3,1000,5,11,4,9,4,3,0.49677419354838714,0.031,984.4
difficult,pocock,44,30,0,0.3,1000,5,13,13,8,10,10,0.5666666666666667,0.054,976.5999999999999
difficult,pocock,45,10,0.5,0.3,1000,5,187,228,203,147,94,0.5378346915017462,0.859,603
difficult,pocock,46,30,0.5,0.3,1000,5,612,312,70,6,0,0.294,1,294
difficult,pocock,47,10,1,0.3,1000,5,654,298,42,6,0,0.28,1,280
difficult,pocock,48,30,1,0.3,1000,5,1000,0,0,0,0,0.2,1,200
