position,boundary,params,nitem,mdif,pdif,N,stages,1,2,3,4,5,expected_rate,detect_rate,expected_size
easy,obf,1,10,0,0.1,500,2,0,33,NA,NA,NA,1,0.033,500
easy,obf,2,30,0,0.1,500,2,5,48,NA,NA,NA,0.9528301886792453,0.053,498.74999999999994
easy,obf,3,10,0.5,0.1,500,2,20,232,NA,NA,NA,0.9603174603174603,0.252,495
easy,obf,4,30,0.5,0.1,500,2,174,569,NA,NA,NA,0.882907133243607,0.743,456.5
easy,obf,5,10,1,0.1,500,2,180,689,NA,NA,NA,0.8964326812428078,0.869,455
easy,obf,6,30,1,0.1,500,2,874,126,NA,NA,NA,0.563,1,281.5
easy,obf,7,10,0,0.3,500,2,5,33,NA,NA,NA,0.9342105263157895,0.038,498.74999999999994
easy,obf,8,30,0,0.3,500,2,4,33,NA,NA,NA,0.9459459459459459,0.037,499
easy,obf,9,10,0.5,0.3,500,2,161,605,NA,NA,NA,0.8949086161879896,0.766,459.75
easy,obf,10,30,0.5,0.3,500,2,736,263,NA,NA,NA,0.6316316316316316,0.999,316
easy,obf,11,10,1,0.3,500,2,858,142,NA,NA,NA,0.571,1,285.5
easy,obf,12,30,1,0.3,500,2,1000,0,NA,NA,NA,0.5,1,250
easy,obf,13,10,0,0.1,1000,2,4,48,NA,NA,NA,0.9615384615384616,0.052,998
easy,obf,14,30,0,0.1,1000,2,2,43,NA,NA,NA,0.9777777777777777,0.045,999
easy,obf,15,10,0.5,0.1,1000,2,76,423,NA,NA,NA,0.9238476953907816,0.499,962
easy,obf,16,30,0.5,0.1,1000,2,463,497,NA,NA,NA,0.7588541666666667,0.96,768.5000000000001
easy,obf,17,10,1,0.1,1000,2,576,418,NA,NA,NA,0.710261569416499,0.994,712
easy,obf,18,30,1,0.1,1000,2,998,2,NA,NA,NA,0.501,1,501
easy,obf,19,10,0,0.3,1000,2,7,41,NA,NA,NA,0.9270833333333334,0.048,996.4999999999999
easy,obf,20,30,0,0.3,1000,2,5,46,NA,NA,NA,0.9509803921568627,0.051,997.4999999999999
easy,obf,21,10,0.5,0.3,1000,2,452,515,NA,NA,NA,0.766287487073423,0.967,774
easy,obf,22,30,0.5,0.3,1000,2,979,21,NA,NA,NA,0.5105,1,510.49999999999994
easy,obf,23,10,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
easy,obf,24,30,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
easy,obf,25,10,0,0.1,500,5,0,0,4,14,20,0.8842105263157896,0.038,497.79999999999995
easy,obf,26,30,0,0.1,500,5,0,1,6,14,29,0.884,0.05,497.09999999999997
easy,obf,27,10,0.5,0.1,500,5,0,1,32,107,114,0.8629921259842519,0.254,482.59999999999997
easy,obf,28,30,0.5,0.1,500,5,0,43,217,254,218,0.7767759562841529,0.732,418.29999999999995
easy,obf,29,10,1,0.1,500,5,0,39,298,307,211,0.7614035087719299,0.855,398
easy,obf,30,30,1,0.1,500,5,4,615,349,31,1,0.48200000000000004,1,241.00000000000003
easy,obf,31,10,0,0.3,500,5,0,0,5,14,20,0.876923076923077,0.039,497.59999999999997
easy,obf,32,30,0,0.3,500,5,0,1,2,17,19,0.876923076923077,0.039,497.59999999999997
easy,obf,33,10,0.5,0.3,500,5,0,44,224,280,215,0.7745740498034076,0.763,414
easy,obf,34,30,0.5,0.3,500,5,9,419,445,111,15,0.5407407407407406,0.999,270.59999999999997
easy,obf,35,10,1,0.3,500,5,5,600,356,37,2,0.4862,1,243.10000000000002
easy,obf,36,30,1,0.3,500,5,424,576,0,0,0,0.3152,1,157.6
easy,obf,37,10,0,0.1,1000,5,0,0,8,10,26,0.8818181818181817,0.044,994.8
easy,obf,38,30,0,0.1,1000,5,0,2,9,18,23,0.8384615384615385,0.052,991.5999999999999
easy,obf,39,10,0.5,0.1,1000,5,0,9,110,179,191,0.8257668711656441,0.489,914.8
easy,obf,40,30,0.5,0.1,1000,5,0,177,447,263,74,0.6486992715920915,0.961,662.4
easy,obf,41,10,1,0.1,1000,5,0,243,509,205,36,0.6068479355488418,0.993,609.5999999999999
easy,obf,42,30,1,0.1,1000,5,112,860,28,0,0,0.3832,1,383.2
easy,obf,43,10,0,0.3,1000,5,0,1,11,14,20,0.8304347826086957,0.046,992.1999999999999
easy,obf,44,30,0,0.3,1000,5,0,0,7,16,28,0.8823529411764706,0.051,994
easy,obf,45,10,0.5,0.3,1000,5,2,206,410,258,87,0.6461059190031153,0.963,659.2
easy,obf,46,30,0.5,0.3,1000,5,71,780,145,4,0,0.4164,1,416.4
easy,obf,47,10,1,0.3,1000,5,109,862,29,0,0,0.384,1,384
easy,obf,48,30,1,0.3,1000,5,972,28,0,0,0,0.2056,1,205.6
