position,boundary,params,nitem,mdif,pdif,N,stages,1,2,3,4,5,expected_rate,detect_rate,expected_size
easy,pocock,1,10,0,0.1,500,2,21,14,NA,NA,NA,0.7,0.035,494.74999999999994
easy,pocock,2,30,0,0.1,500,2,32,19,NA,NA,NA,0.6862745098039216,0.051,492
easy,pocock,3,10,0.5,0.1,500,2,89,128,NA,NA,NA,0.7949308755760369,0.217,477.75
easy,pocock,4,30,0.5,0.1,500,2,370,319,NA,NA,NA,0.7314949201741655,0.689,407.50000000000006
easy,pocock,5,10,1,0.1,500,2,442,375,NA,NA,NA,0.7294981640146879,0.817,389.5
easy,pocock,6,30,1,0.1,500,2,962,38,NA,NA,NA,0.519,1,259.5
easy,pocock,7,10,0,0.3,500,2,30,18,NA,NA,NA,0.6875,0.048,492.5
easy,pocock,8,30,0,0.3,500,2,28,10,NA,NA,NA,0.631578947368421,0.038,493
easy,pocock,9,10,0.5,0.3,500,2,349,363,NA,NA,NA,0.7549157303370787,0.712,412.75
easy,pocock,10,30,0.5,0.3,500,2,893,104,NA,NA,NA,0.5521564694082247,0.997,276.75
easy,pocock,11,10,1,0.3,500,2,961,39,NA,NA,NA,0.5195,1,259.75
easy,pocock,12,30,1,0.3,500,2,1000,0,NA,NA,NA,0.5,1,250
easy,pocock,13,10,0,0.1,1000,2,25,20,NA,NA,NA,0.7222222222222222,0.045,987.4999999999999
easy,pocock,14,30,0,0.1,1000,2,25,22,NA,NA,NA,0.7340425531914894,0.047,987.4999999999999
easy,pocock,15,10,0.5,0.1,1000,2,231,234,NA,NA,NA,0.7516129032258064,0.465,884.5
easy,pocock,16,30,0.5,0.1,1000,2,694,253,NA,NA,NA,0.6335797254487856,0.947,653
easy,pocock,17,10,1,0.1,1000,2,806,182,NA,NA,NA,0.5921052631578947,0.988,597
easy,pocock,18,30,1,0.1,1000,2,1000,0,NA,NA,NA,0.5,1,500
easy,pocock,19,10,0,0.3,1000,2,37,13,NA,NA,NA,0.63,0.05,981.4999999999999
easy,pocock,20,30,0,0.3,1000,2,30,23,NA,NA,NA,0.71698113207547165,0.053,985
easy,pocock,21,10,0.5,0.3,1000,2,687,264,NA,NA,NA,0.638801261829653,0.951,656.5000000000001
easy,pocock,22,30,0.5,0.3,1000,2,999,1,NA,NA,NA,0.5005,1,500.49999999999994
easy,pocock,23,10,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
easy,pocock,24,30,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
easy,pocock,25,10,0,0.1,500,5,0,3,6,6,5,0.73,0.02,497.29999999999995
easy,pocock,26,30,0,0.1,500,5,11,13,8,8,9,0.563265306122449,0.049,489.29999999999995
easy,pocock,27,10,0.5,0.1,500,5,6,34,45,50,42,0.6994350282485876,0.177,473.4
easy,pocock,28,30,0.5,0.1,500,5,101,162,132,120,119,0.5981072555205047,0.634,372.59999999999997
easy,pocock,29,10,1,0.1,500,5,48,203,221,156,131,0.6313570487483531,0.759,360.09999999999997
easy,pocock,30,30,1,0.1,500,5,522,356,108,12,2,0.32320000000000004,1,161.60000000000002
easy,pocock,31,10,0,0.3,500,5,15,8,8,8,5,0.509090909090909,0.044,489.2
easy,pocock,32,30,0,0.3,500,5,20,4,7,8,3,0.4571428571428572,0.042,488.59999999999997
easy,pocock,33,10,0.5,0.3,500,5,89,168,145,135,118,0.6076335877862595,0.655,371.5
easy,pocock,34,30,0.5,0.3,500,5,388,353,182,60,12,0.38994974874371857,0.995,196.49999999999997
easy,pocock,35,10,1,0.3,500,5,516,355,111,15,3,0.3268,1,163.39999999999998
easy,pocock,36,30,1,0.3,500,5,980,20,0,0,0,0.204,1,102
easy,pocock,37,10,0,0.1,1000,5,4,9,12,2,4,0.5548387096774194,0.031,986.1999999999999
easy,pocock,38,30,0,0.1,1000,5,13,15,9,9,6,0.5230769230769231,0.052,975.1999999999999
easy,pocock,39,10,0.5,0.1,1000,5,29,81,88,94,88,0.6689473684210526,0.38,874.1999999999999
easy,pocock,40,30,0.5,0.1,1000,5,228,279,226,142,57,0.4972103004291845,0.932,531.3999999999999
easy,pocock,41,10,1,0.1,1000,5,249,375,215,103,41,0.4600203458799594,0.983,469.20000000000005
easy,pocock,42,30,1,0.1,1000,5,877,122,1,0,0,0.22479999999999997,1,224.79999999999998
easy,pocock,43,10,0,0.3,1000,5,13,10,13,7,4,0.5106382978723404,0.047,977
easy,pocock,44,30,0,0.3,1000,5,20,16,6,5,11,0.5,0.058,971
easy,pocock,45,10,0.5,0.3,1000,5,227,272,237,132,69,0.5026680896478122,0.937,534
easy,pocock,46,30,0.5,0.3,1000,5,748,223,26,3,0,0.25680000000000003,1,256.8
easy,pocock,47,10,1,0.3,1000,5,875,123,2,0,0,0.2254,1,225.39999999999998
easy,pocock,48,30,1,0.3,1000,5,1000,0,0,0,0,0.2,1,200
