position,boundary,params,nitem,mdif,pdif,N,stages,1,2,3,4,5,expected_rate,detect_rate,expected_size
middle,obf,1,10,0,0.1,500,2,5,41,NA,NA,NA,0.9456521739130435,0.046,498.74999999999994
middle,obf,2,30,0,0.1,500,2,4,45,NA,NA,NA,0.9591836734693877,0.049,499
middle,obf,3,10,0.5,0.1,500,2,108,474,NA,NA,NA,0.9072164948453608,0.582,473
middle,obf,4,30,0.5,0.1,500,2,538,439,NA,NA,NA,0.7246673490276356,0.977,365.5
middle,obf,5,10,1,0.1,500,2,572,422,NA,NA,NA,0.7122736418511066,0.994,357
middle,obf,6,30,1,0.1,500,2,998,2,NA,NA,NA,0.501,1,250.5
middle,obf,7,10,0,0.3,500,2,8,38,NA,NA,NA,0.9130434782608695,0.046,498
middle,obf,8,30,0,0.3,500,2,2,28,NA,NA,NA,0.9666666666666667,0.03,499.5
middle,obf,9,10,0.5,0.3,500,2,244,633,NA,NA,NA,0.8608893956670467,0.877,439
middle,obf,10,30,0.5,0.3,500,2,866,133,NA,NA,NA,0.5665665665665666,0.999,283.5
middle,obf,11,10,1,0.3,500,2,944,56,NA,NA,NA,0.528,1,264
middle,obf,12,30,1,0.3,500,2,1000,0,NA,NA,NA,0.5,1,250
middle,obf,13,10,0,0.1,1000,2,3,36,NA,NA,NA,0.9615384615384616,0.039,998.5
middle,obf,14,30,0,0.1,1000,2,4,41,NA,NA,NA,0.9555555555555556,0.045,998
middle,obf,15,10,0.5,0.1,1000,2,273,608,NA,NA,NA,0.8450624290578888,0.881,863.5
middle,obf,16,30,0.5,0.1,1000,2,882,118,NA,NA,NA,0.559,1,559
middle,obf,17,10,1,0.1,1000,2,938,62,NA,NA,NA,0.531,1,531
middle,obf,18,30,1,0.1,1000,2,1000,0,NA,NA,NA,0.5,1,500
middle,obf,19,10,0,0.3,1000,2,5,40,NA,NA,NA,0.9444444444444444,0.045,997.4999999999999
middle,obf,20,30,0,0.3,1000,2,2,44,NA,NA,NA,0.9782608695652174,0.046,999
middle,obf,21,10,0.5,0.3,1000,2,594,399,NA,NA,NA,0.7009063444108762,0.993,703.0000000000001
middle,obf,22,30,0.5,0.3,1000,2,998,2,NA,NA,NA,0.501,1,501
middle,obf,23,10,1,0.3,1000,2,999,1,NA,NA,NA,0.5005,1,500.49999999999994
middle,obf,24,30,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
middle,obf,25,10,0,0.1,500,5,0,3,7,17,18,0.8222222222222222,0.045,496
middle,obf,26,30,0,0.1,500,5,0,1,7,15,30,0.879245283018868,0.053,496.79999999999995
middle,obf,27,10,0.5,0.1,500,5,0,25,147,200,189,0.7971479500891265,0.561,443.09999999999997
middle,obf,28,30,0.5,0.1,500,5,1,240,457,224,56,0.6192229038854805,0.978,313.79999999999995
middle,obf,29,10,1,0.1,500,5,0,264,474,206,51,0.6088442211055276,0.995,305.4
middle,obf,30,30,1,0.1,500,5,137,824,38,1,0,0.38060000000000005,1,190.3
middle,obf,31,10,0,0.3,500,5,0,1,6,21,17,0.84,0.045,496.4
middle,obf,32,30,0,0.3,500,5,0,1,6,10,16,0.8484848484848485,0.033,497.5
middle,obf,33,10,0.5,0.3,500,5,1,82,322,302,160,0.7241061130334486,0.867,380.4
middle,obf,34,30,0.5,0.3,500,5,13,592,351,40,4,0.486,1,243
middle,obf,35,10,1,0.3,500,5,24,725,238,13,0,0.448,1,224
middle,obf,36,30,1,0.3,500,5,623,376,1,0,0,0.2756,1,137.8
middle,obf,37,10,0,0.1,1000,5,0,0,4,16,15,0.862857142857143,0.035,995.1999999999999
middle,obf,38,30,0,0.1,1000,5,0,2,10,14,24,0.84,0.05,992
middle,obf,39,10,0.5,0.1,1000,5,0,81,321,302,171,0.7286857142857143,0.875,762.5999999999999
middle,obf,40,30,0.5,0.1,1000,5,13,615,335,36,1,0.47940000000000005,1,479.40000000000003
middle,obf,41,10,1,0.1,1000,5,22,709,250,19,0,0.4532,1,453.2
middle,obf,42,30,1,0.1,1000,5,649,351,0,0,0,0.27020000000000005,1,270.20000000000005
middle,obf,43,10,0,0.3,1000,5,0,1,4,14,20,0.8717948717948718,0.039,995
middle,obf,44,30,0,0.3,1000,5,0,1,5,18,23,0.8680851063829786,0.047,993.8
middle,obf,45,10,0.5,0.3,1000,5,5,286,466,193,43,0.596576032225579,0.993,599.4
middle,obf,46,30,0.5,0.3,1000,5,130,808,62,0,0,0.38639999999999997,1,386.4
middle,obf,47,10,1,0.3,1000,5,221,771,8,0,0,0.3574,1,357.4
middle,obf,48,30,1,0.3,1000,5,988,12,0,0,0,0.2024,1,202.4
