position,boundary,params,nitem,mdif,pdif,N,stages,1,2,3,4,5,expected_rate,detect_rate,expected_size
middle,pocock,1,10,0,0.1,500,2,33,14,NA,NA,NA,0.648936170212766,0.047,491.74999999999994
middle,pocock,2,30,0,0.1,500,2,25,23,NA,NA,NA,0.7395833333333334,0.048,493.74999999999994
middle,pocock,3,10,0.5,0.1,500,2,268,256,NA,NA,NA,0.7442748091603053,0.524,433
middle,pocock,4,30,0.5,0.1,500,2,748,216,NA,NA,NA,0.6120331950207469,0.964,313.00000000000006
middle,pocock,5,10,1,0.1,500,2,802,188,NA,NA,NA,0.5949494949494949,0.99,299.5
middle,pocock,6,30,1,0.1,500,2,1000,0,NA,NA,NA,0.5,1,250
middle,pocock,7,10,0,0.3,500,2,23,22,NA,NA,NA,0.7444444444444445,0.045,494.24999999999994
middle,pocock,8,30,0,0.3,500,2,16,17,NA,NA,NA,0.7575757575757576,0.033,496
middle,pocock,9,10,0.5,0.3,500,2,502,329,NA,NA,NA,0.6979542719614922,0.831,374.5
middle,pocock,10,30,0.5,0.3,500,2,960,39,NA,NA,NA,0.5195195195195195,0.999,259.99999999999994
middle,pocock,11,10,1,0.3,500,2,988,12,NA,NA,NA,0.506,1,253
middle,pocock,12,30,1,0.3,500,2,1000,0,NA,NA,NA,0.5,1,250
middle,pocock,13,10,0,0.1,1000,2,23,16,NA,NA,NA,0.7051282051282052,0.039,988.4999999999999
middle,pocock,14,30,0,0.1,1000,2,31,18,NA,NA,NA,0.6836734693877551,0.049,984.4999999999999
middle,pocock,15,10,0.5,0.1,1000,2,509,337,NA,NA,NA,0.6991725768321513,0.846,745.4999999999999
middle,pocock,16,30,0.5,0.1,1000,2,958,42,NA,NA,NA,0.521,1,521
middle,pocock,17,10,1,0.1,1000,2,988,12,NA,NA,NA,0.506,1,506
middle,pocock,18,30,1,0.1,1000,2,1000,0,NA,NA,NA,0.5,1,500
middle,pocock,19,10,0,0.3,1000,2,22,17,NA,NA,NA,0.717948717948718,0.039,989
middle,pocock,20,30,0,0.3,1000,2,21,20,NA,NA,NA,0.7439024390243902,0.041,989.4999999999999
middle,pocock,21,10,0.5,0.3,1000,2,806,184,NA,NA,NA,0.592929292929293,0.99,597.0000000000001
middle,pocock,22,30,0.5,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
middle,pocock,23,10,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
middle,pocock,24,30,1,0.3,1000,2,1000,0,NA,NA,NA,0.5,1,500
middle,pocock,25,10,0,0.1,500,5,10,15,11,7,4,0.5148936170212766,0.047,488.59999999999997
middle,pocock,26,30,0,0.1,500,5,13,13,12,7,6,0.5215686274509804,0.051,487.79999999999995
middle,pocock,27,10,0.5,0.1,500,5,81,89,114,91,95,0.6127659574468085,0.47,409.00000000000006
middle,pocock,28,30,0.5,0.1,500,5,253,332,228,100,43,0.46359832635983267,0.956,243.60000000000005
middle,pocock,29,10,1,0.1,500,5,298,333,202,98,50,0.45096839959225277,0.981,230.7
middle,pocock,30,30,1,0.1,500,5,877,121,2,0,0,0.225,1,112.5
middle,pocock,31,10,0,0.3,500,5,11,7,7,9,6,0.5599999999999999,0.04,491.2
middle,pocock,32,30,0,0.3,500,5,11,10,6,4,3,0.47058823529411764,0.034,491
middle,pocock,33,10,0.5,0.3,500,5,135,198,209,143,113,0.575187969924812,0.798,330.5
middle,pocock,34,30,0.5,0.3,500,5,527,352,104,12,4,0.32252252252252256,0.999,161.60000000000002
middle,pocock,35,10,1,0.3,500,5,626,322,47,5,0,0.2862,1,143.1
middle,pocock,36,30,1,0.3,500,5,994,6,0,0,0,0.20120000000000002,1,100.60000000000001
middle,pocock,37,10,0,0.1,1000,5,10,8,6,7,5,0.5388888888888889,0.036,983.4
middle,pocock,38,30,0,0.1,1000,5,11,13,7,6,4,0.49756097560975615,0.041,979.4
middle,pocock,39,10,0.5,0.1,1000,5,133,216,189,165,99,0.5703241895261845,0.802,655.4
middle,pocock,40,30,0.5,0.1,1000,5,561,331,92,13,3,0.3132,1,313.2
middle,pocock,41,10,1,0.1,1000,5,616,314,60,10,0,0.2928,1,292.8
middle,pocock,42,30,1,0.1,1000,5,993,7,0,0,0,0.2014,1,201.4
middle,pocock,43,10,0,0.3,1000,5,16,11,6,3,2,0.41052631578947374,0.038,977.5999999999999
middle,pocock,44,30,0,0.3,1000,5,11,7,11,8,3,0.525,0.04,981
middle,pocock,45,10,0.5,0.3,1000,5,310,321,203,110,32,0.442827868852459,0.976,456.2
middle,pocock,46,30,0.5,0.3,1000,5,845,152,3,0,0,0.23160000000000003,1,231.60000000000002
middle,pocock,47,10,1,0.3,1000,5,917,82,1,0,0,0.2168,1,216.79999999999998
middle,pocock,48,30,1,0.3,1000,5,1000,0,0,0,0,0.2,1,200
