z,stage,nsim,params
0.27201268021812114,1,1,1
-0.5848425782474503,2,1,1
654.1366605117369,1,2,1
0.943386851417553,2,2,1
-0.9538623060794144,1,3,1
-0.8126478205142597,2,3,1
-268.5616320190179,1,4,1
-0.022115974524343867,2,4,1
-1.0206357965870596,1,5,1
-0.5450668945511726,2,5,1
-0.9517783480551,1,6,1
-1.3380432152220656,2,6,1
0.14694251126865387,1,7,1
0.12637400501822715,2,7,1
0.5039876133252076,1,8,1
126.18406112702974,2,8,1
-472.1060668354238,1,9,1
-2.2084391508678154,2,9,1
-0.3225725913575179,1,10,1
-96.72285382593664,2,10,1
0.40973590680045324,1,11,1
0.7998619713663419,2,11,1
-0.6297963235575009,1,12,1
-0.39916451143432863,2,12,1
0.12505252416005436,1,13,1
-1.0604054887720862,2,13,1
-0.8050704890794368,1,14,1
-116.28245365311895,2,14,1
0.15837221848129732,1,15,1
-6.391579258756867,2,15,1
-197.39617809065936,1,16,1
-281.39894426270195,2,16,1
-1.3590676857374147,1,17,1
0.09413359698184925,2,17,1
-613.1345496496617,1,18,1
-0.919316688719027,2,18,1
-168.3768214520596,1,19,1
0.6251775717050322,2,19,1
-1.1976228594605924,1,20,1
-1.5244564252932,2,20,1
1.5800577232098183,1,1,2
1.0889389381425574,2,1,2
1.3588742208989282,1,2,2
0.9520730169713524,2,2,2
-0.5219816308444434,1,3,2
-1.0549392255011225,2,3,2
0.9868409700072112,1,4,2
0.8037103896708313,2,4,2
1.161333684733955,1,5,2
0.14681776253086948,2,5,2
-0.21627346240439402,1,6,2
0.8586559929686542,2,6,2
0.09214221564936982,1,7,2
0.1994837440154728,2,7,2
-0.8628853934001068,1,8,2
-0.5986759208275749,2,8,2
0.7458110047443807,1,9,2
0.9250099249937181,2,9,2
1.0039685955315394,1,10,2
0.7316065549364262,2,10,2
0.4397834913680033,1,11,2
0.03821753230251038,2,11,2
0.22514450479414605,1,12,2
0.218671655521119,2,12,2
0.9287543989994353,1,13,2
0.2875572677683827,2,13,2
-0.3567701124958965,1,14,2
-0.47355441322876063,2,14,2
-0.1006713961616111,1,15,2
-0.07154778281113697,2,15,2
1.0766497219311515,1,16,2
1.3885896987746718,2,16,2
1.805563258269264,1,17,2
1.767407545871705,2,17,2
-0.37903028464833566,1,18,2
-0.765685927039068,2,18,2
0.22657656913868993,1,19,2
-0.9945137275002502,2,19,2
0.2429790498186786,1,20,2
-0.03368778509581067,2,20,2
-0.4493556475279523,1,1,3
-331.30874751843203,2,1,3
1.2440857470114373,1,2,3
-0.17386504908599762,2,2,3
-1.19338707522285,1,3,3
-2.007568902154459,2,3,3
-268.5616320190179,1,4,3
-0.1277827326183189,2,4,3
