z,stage,nsim,params
-0.7944374826467149,1,1,40
-1.294900695423399,2,1,40
-1.9297274342859159,3,1,40
-2.569868345800282,4,1,40
-2.445196497987032,5,1,40
-0.768640030036212,1,2,40
-1.8145649777419288,2,2,40
-1.9504561974612566,3,2,40
-2.790615086778834,4,2,40
-3.3145812688055343,5,2,40
-1.9071213324611154,1,3,40
-1.241393654404243,2,3,40
-1.7358425318782282,3,3,40
-2.7054795339521136,4,3,40
-2.6367112565842166,5,3,40
-2.9863428088962256,1,4,40
-2.4690518824537997,2,4,40
-3.0286339167135967,3,4,40
-2.726805246312616,4,4,40
-3.2435021298518474,5,4,40
-3.4126416325255313,1,5,40
-2.8872411683175465,2,5,40
-3.4051837070695843,3,5,40
-3.51553911369078,4,5,40
-4.618212297534673,5,5,40
-2.6782741190615313,1,6,40
-3.1685329937940323,2,6,40
-3.415350433157228,3,6,40
-4.743027836837996,4,6,40
-4.905881718701383,5,6,40
-2.1725686640704547,1,7,40
-2.8808951671168823,2,7,40
-3.147023092746457,3,7,40
-2.721803466692408,4,7,40
-2.6751553912728983,5,7,40
-3.4047198770065292,1,8,40
-2.8089344263825127,2,8,40
-4.311239290793309,3,8,40
-4.705204025408394,4,8,40
-4.7109600697305245,5,8,40
-2.3410698396463463,1,9,40
-1.9977796378149795,2,9,40
-2.9563960821486823,3,9,40
-3.4832521213552066,4,9,40
-4.298149628093936,5,9,40
-0.3227671329939761,1,10,40
-1.0705566909743354,2,10,40
-1.9653882770636615,3,10,40
-2.0826255574909096,4,10,40
-3.246613869954915,5,10,40
-1.344945742079881,1,11,40
-1.9081180239168425,2,11,40
-2.411033740497065,3,11,40
-2.096255115726206,4,11,40
-2.2680216370556514,5,11,40
-1.8609554311205483,1,12,40
-3.031468265543234,2,12,40
-3.665740466128651,3,12,40
-4.1554292158541175,4,12,40
-5.018662869132608,5,12,40
-2.0941250678065426,1,13,40
-3.256611422196955,2,13,40
-3.8317166924802355,3,13,40
-3.7322629273945243,4,13,40
-4.1173604431490745,5,13,40
-2.521407256603476,1,14,40
-1.9136414894933156,2,14,40
-3.0815864552273955,3,14,40
-3.734523545280454,4,14,40
-5.020722273826533,5,14,40
-2.6334992686803833,1,15,40
-2.3393687345721834,2,15,40
-3.0280339010729977,3,15,40
-3.679173624110384,4,15,40
-4.671760701867709,5,15,40
-1.8283957370706276,1,16,40
-2.049866227350097,2,16,40
-3.307256406677272,3,16,40
-3.1313503640420075,4,16,40
-3.5928257495582705,5,16,40
-0.5144006197039345,1,17,40
-1.9649870545644637,2,17,40
-2.5651897158054955,3,17,40
-2.544853854338733,4,17,40
-3.242382258635897,5,17,40
-1.074488787374877,1,18,40
-1.1077971174058217,2,18,40
-1.5835404736276768,3,18,40
-1.664039187128895,4,18,40
-1.9381370016088388,5,18,40
-2.050830532699749,1,19,40
-3.019396658485445,2,19,40
-3.293747507158613,3,19,40
-3.589847682566219,4,19,40
-3.322234736655927,5,19,40
-2.1130562055266813,1,20,40
-3.551630015456321,2,20,40
-3.4446862765615434,3,20,40
-3.4187561008048357,4,20,40
-4.560551681023332,5,20,40
-2.0710468306050513,1,21,40
-2.388967480432887,2,21,40
-2.656067248214294,3,21,40
-3.4977116801165384,4,21,40
-3.61361186939356,5,21,40
-1.856469976707223,1,22,40
-3.8987804721156625,2,22,40
-3.30282820132462,3,22,40
-2.9887674812167013,4,22,40
-2.7689668809216244,5,22,40
-0.3354973507874472,1,23,40
-1.3053143929565079,2,23,40
-1.109130112577843,3,23,40
-2.322404228308402,4,23,40
-2.736275047214044,5,23,40
-0.7223925742902237,1,24,40
-1.4048999851656336,2,24,40
-1.7101636405485958,3,24,40
-1.914118240646683,4,24,40
-3.542181281427373,5,24,40
-1.293385087703538,1,25,40
-2.3011961554383693,2,25,40
-3.541580842455213,3,25,40
-4.276215468551215,4,25,40
-4.369029118345238,5,25,40
-2.016828721521134,1,26,40
-2.531041700666833,2,26,40
-2.4235938120237184,3,26,40
-3.0984177460862816,4,26,40
-3.599757519902861,5,26,40
-1.43230143842234,1,27,40
-1.9730476817097327,2,27,40
-1.7104602003640677,3,27,40
-2.2394999108771914,4,27,40
-2.746100805964836,5,27,40
-3.1255554046087184,1,28,40
-2.8267687828217594,2,28,40
-3.469563538452186,3,28,40
-4.007836961471601,4,28,40
-4.035215428941568,5,28,40
-0.32916483037492417,1,29,40
-1.5376181664964146,2,29,40
-2.1545832521842123,3,29,40
-2.1649365265232885,4,29,40
-1.8374197501437224,5,29,40
-1.7815142883691224,1,30,40
-1.9199557749726266,2,30,40
-3.1626942460686034,3,30,40
-3.197650215672372,4,30,40
-3.1146246664530843,5,30,40
-1.4311933526995513,1,31,40
-2.0923934422760784,2,31,40
-3.0636609035167988,3,31,40
-3.1615767651713353,4,31,40
-3.4398846156995857,5,31,40
-2.9326062276509743,1,32,40
-4.081781027627033,2,32,40
-3.9266583280130645,3,32,40
-4.220272633660594,4,32,40
-4.203729395829453,5,32,40
-2.495026001332804,1,33,40
-3.1239580538254694,2,33,40
-4.165953713986248,3,33,40
-4.454778812529615,4,33,40
-4.5740400121653595,5,33,40
-1.0006683035924453,1,34,40
-1.936499879752373,2,34,40
-3.0413521702919133,3,34,40
-2.57839094981502,4,34,40
-2.996093752627562,5,34,40
-1.9314750597458243,1,35,40
-1.9969861667972044,2,35,40
-1.7763280504317256,3,35,40
-2.3458259310260625,4,35,40
-2.842889968804,5,35,40
-2.268440248024578,1,36,40
-2.334748232501205,2,36,40
-3.5251501624610992,3,36,40
-3.654717395650795,4,36,40
-3.909935218230335,5,36,40
-0.9353259710669918,1,37,40
