z,stage,nsim,params
-10.141532519039986,1,1,24
-14.13812984770019,2,1,24
-11.079406432558834,1,2,24
-15.057521139078487,2,2,24
-10.713962787825265,1,3,24
-14.46035471137333,2,3,24
-11.251405931405413,1,4,24
-14.545189429441557,2,4,24
-10.611382554091264,1,5,24
-14.870008622419649,2,5,24
-11.817004634036069,1,6,24
-16.889500213113987,2,6,24
-9.389161623907766,1,7,24
-12.873365734341675,2,7,24
-10.295260744792339,1,8,24
-14.746332847431399,2,8,24
-9.19850542816498,1,9,24
-13.20821609373302,2,9,24
-10.673226873147312,1,10,24
-14.383967807801957,2,10,24
-9.683721444555829,1,11,24
-14.681061679329016,2,11,24
-10.295524481069585,1,12,24
-14.45617146695244,2,12,24
-8.949059255605674,1,13,24
-13.007629038360973,2,13,24
-10.180536337536697,1,14,24
-13.337306438830016,2,14,24
-7.745711699100079,1,15,24
-13.52769846160877,2,15,24
-8.533485107603726,1,16,24
-14.800312422906675,2,16,24
-10.22908534566218,1,17,24
-14.522133564730918,2,17,24
-10.54262917952052,1,18,24
-13.4305120643052,2,18,24
-10.367326693160939,1,19,24
-13.918990939156616,2,19,24
-10.667754994803511,1,20,24
-14.705215229708488,2,20,24
-10.663404639333134,1,21,24
-15.374917081359056,2,21,24
-9.914084165466706,1,22,24
-14.216844112672767,2,22,24
-11.75656291037476,1,23,24
-15.197042990225608,2,23,24
-10.82863327341894,1,24,24
-14.535837325815857,2,24,24
-9.711465247383165,1,25,24
-14.284166610171749,2,25,24
-12.680019879367977,1,26,24
-16.219037276764254,2,26,24
-10.836252991372588,1,27,24
-14.915104778741394,2,27,24
-10.80541614275795,1,28,24
-15.681061108451855,2,28,24
-8.076880739063164,1,29,24
-12.494410411793414,2,29,24
-9.426627768925302,1,30,24
-14.025667934849876,2,30,24
-9.949341328410538,1,31,24
-15.439379597828802,2,31,24
-8.98285916796375,1,32,24
-13.592022478028207,2,32,24
-10.074166550041465,1,33,24
-14.21743537517434,2,33,24
-9.14672636839685,1,34,24
-13.256900900455985,2,34,24
-8.833151499159989,1,35,24
-11.510757230231563,2,35,24
-10.569162693837725,1,36,24
-14.83507543381055,2,36,24
-10.037455051318032,1,37,24
-14.213053631324534,2,37,24
-10.802397084612466,1,38,24
-13.243427048161177,2,38,24
-10.086189018227886,1,39,24
-13.612992828506204,2,39,24
-9.095948536812461,1,40,24
-13.481030312833019,2,40,24
-10.082363088746323,1,41,24
-13.021817068174423,2,41,24
-10.227725233397237,1,42,24
-14.674635434468675,2,42,24
-9.124715497881008,1,43,24
-14.026035879698833,2,43,24
-9.577299210580163,1,44,24
-13.28675935040065,2,44,24
-11.099907409096595,1,45,24
-14.314933843233197,2,45,24
-8.302276929306636,1,46,24
-11.589471604544107,2,46,24
-9.381904358401266,1,47,24
-14.120323245339144,2,47,24
-11.426266215079645,1,48,24
-15.448273047162973,2,48,24
-8.926308893055008,1,49,24
-13.311431130975519,2,49,24
-10.244851657865777,1,50,24
-13.578970546740477,2,50,24
-10.483236668258199,1,51,24
-14.765539236241256,2,51,24
-9.105597126019566,1,52,24
-13.040796355946672,2,52,24
-11.075021936941463,1,53,24
-15.730897999965975,2,53,24
-8.061649214117514,1,54,24
-11.883401354510115,2,54,24
-11.447482580945906,1,55,24
-14.74379993927249,2,55,24
-11.681195377416246,1,56,24
-15.426032310230699,2,56,24
-11.203745247507326,1,57,24
-15.012513541309346,2,57,24
-11.240242066829525,1,58,24
-13.392537514773302,2,58,24
-9.195494516296938,1,59,24
-13.017454681013815,2,59,24
-8.693514643372641,1,60,24
-13.631342096839186,2,60,24
-10.81940745169074,1,61,24
-14.731394559352545,2,61,24
-9.502191876158863,1,62,24
-14.325202012939426,2,62,24
-12.326662477135077,1,63,24
-14.629078011177135,2,63,24
-11.997492136248667,1,64,24
-15.990247776986362,2,64,24
-9.956404897121828,1,65,24
-14.938681092403193,2,65,24
-11.792347863773518,1,66,24
-14.11797729786703,2,66,24
-10.68326178309753,1,67,24
-15.191331051505836,2,67,24
-11.088672709830352,1,68,24
-15.95367285636261,2,68,24
-8.307295602010466,1,69,24
-13.373458524037423,2,69,24
-11.20662225237384,1,70,24
