z,stage,nsim
4.817219885588762,1,1
6.398179925232644,2,1
7.156380481728849,3,1
6.777362999098634,4,1
5.88066574488064,5,1
3.551975593155989,1,2
5.589397334384906,2,2
5.561925513524475,3,2
5.483688913077786,4,2
5.88066574488064,5,2
1.5388276088352246,1,3
2.1255316240821647,2,3
4.446613947823449,3,3
5.001871314326568,4,3
5.88066574488064,5,3
3.761939060415133,1,4
2.70041792685752,2,4
3.441858284749304,3,4
4.6629920890922625,4,4
5.88066574488064,5,4
1.8390089216213237,1,5
3.6068387998665234,2,5
3.926133501518611,3,5
5.6216039376203595,4,5
5.88066574723032,5,5
1.137159917714336,1,6
2.9874182998731538,2,6
4.48685004346974,3,6
5.791043018189168,4,6
5.88066574723032,5,6
1.0734331647328272,1,7
3.6472651541132266,2,7
4.08748168948143,3,7
4.466044340292817,4,7
5.88066574488064,5,7
-0.04433610052257115,1,8
1.0909966011965313,2,8
2.8960638121925335,3,8
4.669049650108069,4,8
5.88066574723032,5,8
1.6429016341890916,1,9
3.191839835747893,2,9
4.567279320440769,3,9
4.766136228055002,4,9
5.88066574488064,5,9
1.3627540258957185,1,10
2.5325229383203296,2,10
2.301425459734129,3,10
4.540860065479499,4,10
5.88066574723032,5,10
4.241387101481434,1,11
4.63716212003183,2,11
6.06767057105751,3,11
5.136078135205237,4,11
5.88066574723032,5,11
4.062009611220582,1,12
3.9821192629605497,2,12
4.3603268831448805,3,12
4.920835741897936,4,12
5.88066574723032,5,12
1.7538910818302769,1,13
4.031171550364094,2,13
5.161579734941734,3,13
5.214739367382032,4,13
5.88066574488064,5,13
3.550053833024618,1,14
2.4823357459506026,2,14
3.169715772088931,3,14
4.789347275613236,4,14
5.88066574488064,5,14
1.979615325204118,1,15
4.264752471094004,2,15
4.582122833442596,3,15
5.67412517674524,4,15
5.88066574488064,5,15
3.0437538680413954,1,16
2.9629578138035497,2,16
5.089960894364903,3,16
5.43568231203201,4,16
5.88066574488064,5,16
1.256336041631059,1,17
3.8366558872059944,2,17
6.318789073024752,3,17
4.697311713551424,4,17
5.88066574723032,5,17
3.5775998731780008,1,18
3.611448644919678,2,18
4.745660540933462,3,18
6.080570644977389,4,18
5.88066574723032,5,18
2.052284145784437,1,19
4.871921437816182,2,19
5.772665553564875,3,19
5.456835790057439,4,19
5.88066574723032,5,19
-0.32030638771908815,1,20
3.773175704494561,2,20
3.542234190065474,3,20
5.195609564991328,4,20
5.88066574488064,5,20
1.8457390256646358,1,21
2.459558352509416,2,21
4.375907221512222,3,21
4.90175341275519,4,21
5.88066574723032,5,21
1.301240339834041,1,22
2.9447876495847725,2,22
4.150119868741683,3,22
4.021288936169484,4,22
5.88066574488064,5,22
1.2085732791762946,1,23
5.831833687707991,2,23
5.762203947368162,3,23
5.682837009179,4,23
5.88066574488064,5,23
1.7008656210675523,1,24
2.151760517905987,2,24
3.4092769167566117,3,24
4.068105189263401,4,24
5.88066574723032,5,24
5.660971154770718,1,25
5.969093416233123,2,25
5.29035473509883,3,25
6.1982591225432735,4,25
5.88066574723032,5,25
3.705929280911184,1,26
2.7263157738534094,2,26
4.188371494518531,3,26
4.320741411259455,4,26
5.88066574488064,5,26
3.197905100408767,1,27
4.662548583706608,2,27
4.241732594160464,3,27
5.223662850291668,4,27
5.88066574723032,5,27
3.0394247143026187,1,28
3.95293750691864,2,28
5.215521680746665,3,28
6.318840230466531,4,28
5.88066574488064,5,28
3.2087295589176916,1,29
4.569147939656729,2,29
5.566981727881841,3,29
5.203029646983365,4,29
5.88066574723032,5,29
1.3218543578195165,1,30
2.862011598824729,2,30
4.157630915979557,3,30
5.511508720872052,4,30
5.88066574723032,5,30
4.416255196819858,1,31
6.421749109367038,2,31
7.437255967112318,3,31
6.721748296907689,4,31
5.88066574723032,5,31
1.090099038907654,1,32
3.4451433408288006,2,32
5.143313907688948,3,32
5.76490479099581,4,32
5.88066574723032,5,32
1.6426337353075786,1,33
3.872941596842604,2,33
5.230425580256871,3,33
5.647341319182433,4,33
5.88066574488064,5,33
2.552767284669418,1,34
4.162442334897571,2,34
3.4120122473871635,3,34
4.6687327623446055,4,34
5.88066574723032,5,34
4.716598602978569,1,35
4.561402689569974,2,35
4.71779709411985,3,35
5.254769147141001,4,35
5.88066574488064,5,35
0.9758979873261787,1,36
2.96706369151398,2,36
4.606932259321026,3,36
4.367400438135596,4,36
5.88066574488064,5,36
2.4620670380314564,1,37
2.4864598990769506,2,37
4.172173644405597,3,37
