z,stage,nsim,params
-2.9071753306036063,1,1,11
-4.945676742691003,2,1,11
-3.4257281836680376,1,2,11
-5.033597105916771,2,2,11
-4.887786908783213,1,3,11
-6.847005596893883,2,3,11
-3.382674295884636,1,4,11
-6.120347242304711,2,4,11
-4.379011094363238,1,5,11
-6.329827064797878,2,5,11
-6.049919994598135,1,6,11
-7.755742609665532,2,6,11
-4.843929099692953,1,7,11
-6.279404144994181,2,7,11
-5.562632277265685,1,8,11
-6.747820279737397,2,8,11
-2.750465696782435,1,9,11
-3.3557956193866274,2,9,11
-3.9823971491532797,1,10,11
-5.121719980638827,2,10,11
-4.1990190256945175,1,11,11
-7.445110126640785,2,11,11
-4.846079312274041,1,12,11
-5.863088749665863,2,12,11
-3.1795669810521376,1,13,11
-5.001591886209833,2,13,11
-3.9607264652468315,1,14,11
-5.043553049142634,2,14,11
-4.505707724900133,1,15,11
-6.252233324566228,2,15,11
-3.11607534740848,1,16,11
-4.454175300243472,2,16,11
-4.594579474305524,1,17,11
-7.706212356618105,2,17,11
-4.437175177261993,1,18,11
-5.656121075633871,2,18,11
-4.165592739630151,1,19,11
-5.745265615061081,2,19,11
-4.668326621170668,1,20,11
-6.643314454330025,2,20,11
-5.049480600464617,1,21,11
-8.243334992595209,2,21,11
-4.262527377345491,1,22,11
-6.1985446287049975,2,22,11
-4.4831878571735535,1,23,11
-6.170014034076673,2,23,11
-4.585291189679303,1,24,11
-6.8869129663770865,2,24,11
-4.590467129866344,1,25,11
-6.9118739823002615,2,25,11
-2.5399665387019925,1,26,11
-5.158428848615504,2,26,11
-3.1568166549283676,1,27,11
-4.700723414366448,2,27,11
-4.547560738680957,1,28,11
-6.524474243626373,2,28,11
-4.872411402623891,1,29,11
-6.651880373758601,2,29,11
-3.686286555656196,1,30,11
-6.086385197395881,2,30,11
-3.870834161980174,1,31,11
-5.473246600120429,2,31,11
-4.556300699149341,1,32,11
-6.392847908711684,2,32,11
-3.486575888817587,1,33,11
-5.999424709053225,2,33,11
-3.9867474672040255,1,34,11
-5.834361973728978,2,34,11
-4.911324777997804,1,35,11
-6.009132289762925,2,35,11
-4.84835076847553,1,36,11
-6.826717743910748,2,36,11
-2.4056255597795895,1,37,11
-4.612906927314575,2,37,11
-3.5040200273441777,1,38,11
-5.327170368912384,2,38,11
-4.293120664428138,1,39,11
-4.763968118017186,2,39,11
-2.669170545949673,1,40,11
-5.248899823434982,2,40,11
-4.407990171457009,1,41,11
-5.984506473096412,2,41,11
-5.742096567572039,1,42,11
-6.619959302062112,2,42,11
-4.518728483803218,1,43,11
-6.343472653320084,2,43,11
-2.8413438355926,1,44,11
-6.0353855577908275,2,44,11
-5.682691197024205,1,45,11
-6.42582000968435,2,45,11
-3.515077351690442,1,46,11
-5.514346593715726,2,46,11
-4.641197256196487,1,47,11
-6.110131847639057,2,47,11
-3.445154452581635,1,48,11
